aau_name;url;UDD5;displaydocclass;instpostdistrikt;studietidtx;afbrud;afbrud_statusaar;afbrud_n;undervisningsform_p1;undervisningsform_p2;undervisningsform_p3;undervisningsform_p4;undervisningsform_p5;;;;;branchetxt1;branchetxt2;branchetxt3;branchetxt4;branchepct1;branchepct2;branchepct3;branchepct4;offt_privat;branche_statusaar;branche_n;maanedloenp25_10aar;maanedloen_10aar;maanedloenp75_10aar;maanedloen_10aar_n;maanedloen_10aar_statusaar;ledighed_10aar;ledighed_10aar_statusaar;ledighed_10aar_n;ivaerksaetteri;ivaerksaetteri_statusaar;ivaerksaetteri_n;arbejdsform_andet_pct;arbejdsform_andet_pct2;arbejdsform_faste_aften_nat_pct;arbejdsform_fastedagtimer_pct;arbejdsform_fleksible_pct;arbejdsform_skiftende_pct;arbejdsform_tilretteselv_pct;arbejdsform_n;arbejdsform_statusaar;arbejdstid_timer;arbejdstid_n;arbejdstid_statusaar;dimbesvarelser_antal;dimbesvarelser_pct;fagligmiljo_likert;fagligmiljo_n;fagligmiljo_statusaar;fagligtmotivation_likert;fagligtmotivation_n;fagligtmotivation_statusaar;foerstejob1pct;foerstejob2pct;foerstejob3pct;foerstejob4pct;foerstejob1tx;foerstejob2tx;foerstejob3tx;foerstejob4tx;foerstejob_n;foerstejob_statusaar;jobskabende_p1;jobskabende_p2;jobskabende_p3;jobskabende_p4;jobskabende_p5;jobskabende_n;jobskabende_statusaar;kompetencerudd_p1;kompetencerudd_p2;kompetencerudd_p3;kompetencerudd_p4;kompetencerudd_p5;kompetencerudd_n;kompetencerudd_statusaar;kvalitet_likert;kvalitet_n;kvalitet_statusaar;medstuderende_likert;medstuderende_n;medstuderende_statusaar;relevans_overens_udd_job_likert;relevans_overens_udd_job_n;rel_over_udd_job_statusaar;ruster_til_job_likert;ruster_til_job_n;ruster_til_job_statusaar;socialtmiljo_likert;socialtmiljo_n;socialtmiljo_statusaar;socialtmotivation_likert;socialtmotivation_n;socialtmotivation_statusaar;studbesvarelser_antal;studbesvarelser_pct;tidsforbrug_frivilligtxt;tidsforbrug_selvstudiumtxt;tidsforbrug_studiejobtxt;tidsforbrug_undervisningtxt;tidsforbrug_n;tidsforbrug_statusaar;udbytte_undervisning_likert;udbytte_undervisning_n;udb_undervisning_statusaar;udlandet_dk25_pct;udlandet_dk_pct;udlandet_udlandet_pct;udlandet_n;udlandet_statusaar;undervisere_engagerede_likert;undervisere_engagerede_n;und_engagerede_statusaar;undervisere_faglighed_likert;undervisere_faglighed_n;und_faglighed_statusaar;undervisere_feedback_likert;undervisere_feedback_n;und_feedback_statusaar;undervisere_formidling_likert;undervisere_formidling_n;und_formidling_statusaar;undervisere_kontakt_likert;undervisere_kontakt_n;und_kontakt_statusaar;undervisningsform_n;undervisningsform_statusaar
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/kommunikation;61430;Kandidatuddannelse;Aalborg;1 år og 11 måneder;3;2013-2015;374;;;;;;;;;;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;Ingen data
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/kommunikation;61430;Kandidatuddannelse;København SV;1 år og 11 måneder;3;2013-2015;374;;;;;;;;;;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;Ingen data
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/musikvidenskab;63290,6432;Kandidatuddannelse;Aalborg;2 år og 4 måneder;19;2013-2015;21;;;;;;;;;;Undervisning;Andre serviceydelser  mv;Sundhed og socialvæsen;Øvrige brancher;69;10;5;17;29;2012-2014;776;23.200;31.500;38.900;27;2013-2015;4;2013-2016;20;10;2011-2013;30;;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;Ingen data
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/musikterapi;60100,60290,60310;Kandidatuddannelse;Aalborg;1 år og 8 måneder;7;2013-2015;28;Klasseundervisning;Projektarbejde;Øvelsestimer;Praktik;Selvstudie;;;;;Sundhed og socialvæsen;Undervisning;Andre serviceydelser  mv;Øvrige brancher;58;28;5;8;33;2012-2014;370;20.300;26.400;36.100;18;2013-2015;1;2013-2016;15;0;2011-2013;25;;;;;;;;;Ingen data;;;Ingen data;;;4,4;10;2016/2017;4,3;10;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;4,6;10;2016/2017;4;10;2016/2017;;;Ingen data;;;Ingen data;4,3;10;2016/2017;4,5;10;2016/2017;10;63;1;26;9;21;10;2016/2017;4,4;10;2016/2017;;;;;Ingen data;4,7;10;2016/2017;4,6;10;2016/2017;4,6;10;2016/2017;4,3;10;2016/2017;4,5;10;2016/2017;10;2016/2017
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/sprog/tysk;63460,6446;Kandidatuddannelse;Aalborg;;0;2013-2015;13;;;;;;;;;;Undervisning;Rejsebureauer rengøring og anden operationel service;Handel;Øvrige brancher;53;8;8;31;39;2012-2014;399;28.100;32.200;40.300;26;2013-2015;2;2013-2016;21;0;2011-2013;34;;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;Ingen data
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/information-architecture;62620,3099;Kandidatuddannelse;Aalborg;1 år og 10 måneder;13;2013-2015;183;Projektarbejde;Selvstudie;Klasseundervisning;Forelæsninger;Gruppearbejde;;;;;Information og kommunikation;Undervisning;Handel;Øvrige brancher;33;15;9;43;69;2012-2014;542;34.000;36.600;42.600;28;2013-2015;3;2013-2016;22;7;2011-2013;15;0;8;0;24;51;8;17;63;2016/2017;38;63;2016/2017;86;39;4,07;15;2016/2017;3,93;15;2016/2017;37;22;15;6;Jeg søgte og blev ansat efter et stillingsopslag;Jeg fik job gennem mit netværk;Andet;Jeg fortsatte i job på den arbejdsplads, hvor jeg havde studiejob;65;2016/2017;Netværk;De kompetencer jeg fik fra uddannelsen;Praktik;Studiejob;Jeg har den uddannelse som er en forudsætning for jobbet;61;2016/2017;Formidlingsevner;Tværfaglige og projektorienterede kompetencer;IT-færdigheder;Kreative og innovative kompetencer;Analytiske kompetencer;56;2016/2017;4,25;16;2016/2017;3,81;16;2016/2017;3,34;62;2016/2017;3,57;63;2016/2017;4;16;2016/2017;4,27;15;2016/2017;19;48;6;29;16;22;16;2016/2017;4,25;16;2016/2017;3;97;0;65;2016/2017;4,5;16;2016/2017;4,63;16;2016/2017;4,13;16;2016/2017;3,81;16;2016/2017;4,5;16;2016/2017;15;2016/2017
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/it-laering-og-organisatorisk-omstilling;30980;Kandidatuddannelse;Aalborg;1 år og 11 måneder;8;2013-2015;105;Selvstudie;Projektarbejde;Klasseundervisning;E-læring;Gruppearbejde;;;;;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;3,55;11;2016/2017;3,45;11;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;Ingen data;3,91;11;2016/2017;;;Ingen data;;;Ingen data;3,55;11;2016/2017;3,73;11;2016/2017;16;42;3;37;15;20;10;2016/2017;3,45;11;2016/2017;;;;;Ingen data;3,91;11;2016/2017;3,91;11;2016/2017;3,7;10;2016/2017;3,27;11;2016/2017;3,8;10;2016/2017;11;2016/2017
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/it-laering-og-organisatorisk-omstilling;30980;Kandidatuddannelse;København SV;1 år og 11 måneder;8;2013-2015;105;Projektarbejde;Selvstudie;Gruppearbejde;Klasseundervisning;E-læring;;;;;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;3,13;39;2016/2017;3,45;38;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;3,61;36;2016/2017;3,64;39;2016/2017;;;Ingen data;;;Ingen data;3,76;38;2016/2017;3,79;38;2016/2017;46;37;4;31;10;19;36;2016/2017;3,68;38;2016/2017;;;;;Ingen data;3,74;39;2016/2017;4,03;39;2016/2017;3,18;39;2016/2017;3,51;39;2016/2017;3,44;39;2016/2017;34;2016/2017
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/interaktive-digitale-medier;30690,3096;Kandidatuddannelse;Aalborg;2 år og 0 måneder;4;2013-2015;116;Projektarbejde;Forelæsninger;Selvstudie;Gruppearbejde;Faglig vejledning fra din underviser;;;;;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;7;14;0;36;36;7;14;14;2016/2017;37;14;2016/2017;23;51;4,21;29;2016/2017;3,93;29;2016/2017;33;20;20;13;Jeg fik job gennem mit netværk;Andet;Jeg søgte og blev ansat efter et stillingsopslag;Jeg blev headhuntet;15;2016/2017;Netværk;Praktik;De kompetencer jeg fik fra uddannelsen;Innovations- og entreprenørskabsaktiviteter;Jeg har den uddannelse som er en forudsætning for jobbet;14;2016/2017;Evnen til at samarbejde;IT-færdigheder;Formidlingsevner;Tilegnelse af ny viden;Kreative og innovative kompetencer;13;2016/2017;3,89;27;2016/2017;3,69;29;2016/2017;3,79;14;2016/2017;4,07;14;2016/2017;4,14;29;2016/2017;4,31;29;2016/2017;32;34;2;31;9;26;26;2016/2017;4,07;29;2016/2017;0;100;0;14;2016/2017;4,45;29;2016/2017;4,34;29;2016/2017;4,17;29;2016/2017;4,07;29;2016/2017;4,52;29;2016/2017;25;2016/2017
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/oplevelsesdesign;30930;Kandidatuddannelse;Aalborg;1 år og 11 måneder;10;2013-2015;51;Projektarbejde;Selvstudie;Forelæsninger;Klasseundervisning;Gruppearbejde;;;;;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;4,05;22;2016/2017;3,95;22;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;4,06;17;2016/2017;3,76;21;2016/2017;;;Ingen data;;;Ingen data;4;22;2016/2017;4,05;22;2016/2017;24;39;1;23;9;27;17;2016/2017;3,81;21;2016/2017;;;;;Ingen data;3,95;21;2016/2017;4,24;21;2016/2017;4;21;2016/2017;3,76;21;2016/2017;3,95;21;2016/2017;16;2016/2017
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/naturvidenskabeligekandidatuddannelser/oevrigenaturvidenskab/interaktionsdesign;57740;Kandidatuddannelse;Aalborg;;;Ingen data;;;;;;;;;;;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;Ingen data
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/naturvidenskabeligekandidatuddannelser/biologigeografigeologimv/biologi;82260,82400,82000,82001,61300;Kandidatuddannelse;Aalborg;2 år og 0 måneder;7;2013-2015;43;Projektarbejde;Gruppearbejde;Forelæsninger;Selvstudie;Øvelsestimer;;;;;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;4,12;17;2016/2017;4;17;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;3,81;16;2016/2017;3,41;17;2016/2017;;;Ingen data;;;Ingen data;4,18;17;2016/2017;4,12;17;2016/2017;23;56;2;34;5;33;16;2016/2017;3,76;17;2016/2017;;;;;Ingen data;3,76;17;2016/2017;4,41;17;2016/2017;3,31;16;2016/2017;3,59;17;2016/2017;3,65;17;2016/2017;16;2016/2017
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/naturvidenskabeligekandidatuddannelser/matematikfysikkemiogdatalogi/datahaandtering;57390;Kandidatuddannelse;Aalborg;;;Ingen data;;;;;;;;;;;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;Ingen data
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/naturvidenskabeligekandidatuddannelser/matematikfysikkemiogdatalogi/datalogi;80810,80730,31040;Kandidatuddannelse;Aalborg;1 år og 9 måneder;3;2013-2015;99;Projektarbejde;Forelæsninger;Selvstudie;Gruppearbejde;Øvelsestimer;;;;;Information og kommunikation;Undervisning;Finansiering og forsikring;Øvrige brancher;50;14;12;24;84;2012-2014;253;;;;;Ingen data;;Ingen data;;;Ingen data;;0;0;0;13;67;0;21;39;2016/2017;39;39;2016/2017;42;55;3,62;34;2016/2017;3,6;35;2016/2017;50;20;8;8;Jeg søgte og blev ansat efter et stillingsopslag;Jeg blev headhuntet;Jeg fortsatte i job på den arbejdsplads, hvor jeg havde studiejob;Jeg fortsatte i job på den arbejdsplads, hvor jeg skrev opgave/projekt/speciale eller var i praktik;40;2016/2017;De kompetencer jeg fik fra uddannelsen;Jeg har den uddannelse som er en forudsætning for jobbet;Gode karakterer;Studiejob;Netværk;38;2016/2017;Tekniske kompetencer;Tilegnelse af ny viden;Anvendelse af teori og metode inden for mit fagområde;IT-færdigheder;Evnen til at samarbejde;37;2016/2017;4,06;32;2016/2017;3,36;36;2016/2017;4,05;38;2016/2017;4,38;39;2016/2017;3,74;35;2016/2017;3,97;35;2016/2017;42;37;1;27;5;24;33;2016/2017;3,91;35;2016/2017;3;95;3;40;2016/2017;4,11;36;2016/2017;4,26;35;2016/2017;3,8;35;2016/2017;3,61;36;2016/2017;4,14;36;2016/2017;33;2016/2017
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/naturvidenskabeligekandidatuddannelser/matematikfysikkemiogdatalogi/fysik;80830,80950,80980,80100,30920;Kandidatuddannelse;Aalborg;2 år og 1 måneder;8;2013-2015;13;;;;;;;;;;Undervisning;Information og kommunikation;Videnservice;Øvrige brancher;35;23;10;32;56;2012-2014;542;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;Ingen data
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/naturvidenskabeligekandidatuddannelser/biologigeografigeologimv/geografi;81600,82800,81850;Kandidatuddannelse;Aalborg;1 år og 10 måneder;14;2013-2015;22;;;;;;;;;;Undervisning;Offentlig administration forsvar og politi;Videnservice;Øvrige brancher;59;33;4;4;5;2012-2014;92;;;;;Ingen data;;Ingen data;;;Ingen data;;0;0;0;10;70;0;20;10;2016/2017;40;10;2016/2017;10;42;;;Ingen data;;;Ingen data;40;20;20;20;Jeg søgte og blev ansat efter et stillingsopslag;Jeg fik job gennem mit netværk;Jeg fortsatte i job på den arbejdsplads, hvor jeg havde studiejob;Jeg søgte uopfordret;10;2016/2017;Jeg har den uddannelse som er en forudsætning for jobbet;De kompetencer jeg fik fra uddannelsen;Gode karakterer;Netværk;Frivilligt arbejde;10;2016/2017;Tværfaglige og projektorienterede kompetencer;Anvendelse af teori og metode inden for mit fagområde;Formidlingsevner;Tilegnelse af ny viden;Menneskelige kompetencer;10;2016/2017;;;Ingen data;;;Ingen data;3,6;10;2016/2017;3,6;10;2016/2017;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;0;100;0;10;2016/2017;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;Ingen data
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/naturvidenskabeligekandidatuddannelser/oevrigenaturvidenskab/idraet;82560,82580,82500;Kandidatuddannelse;Aalborg;1 år og 10 måneder;6;2013-2015;94;;;;;;;;;;Undervisning;Kultur og fritid;Videnservice;Øvrige brancher;79;8;5;8;23;2012-2014;39;;;;;Ingen data;;Ingen data;;;Ingen data;;4;8;0;16;52;4;24;25;2016/2017;40;25;2016/2017;30;41;;;Ingen data;;;Ingen data;42;19;19;12;Jeg søgte og blev ansat efter et stillingsopslag;Jeg fik job gennem mit netværk;Jeg fortsatte i job på den arbejdsplads, hvor jeg havde studiejob;Jeg søgte uopfordret;26;2016/2017;Jeg har den uddannelse som er en forudsætning for jobbet;Studiejob;Netværk;De kompetencer jeg fik fra uddannelsen;Gode karakterer;24;2016/2017;Formidlingsevner;Evnen til at samarbejde;Anvendelse af teori og metode inden for mit fagområde;Tilegnelse af ny viden;Menneskelige kompetencer;22;2016/2017;;;Ingen data;;;Ingen data;3,84;25;2016/2017;4,28;25;2016/2017;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;0;100;0;26;2016/2017;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;Ingen data
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/naturvidenskabeligekandidatuddannelser/matematikfysikkemiogdatalogi/medicin-med-industriel-specialisering;79950;Kandidatuddannelse;Aalborg;1 år og 10 måneder;3;2013-2015;99;Projektarbejde;Selvstudie;Forelæsninger;Gruppearbejde;Øvelsestimer;;;;;Industri;Handel;Videnservice;Øvrige brancher;26;18;18;38;64;2012-2014;105;;;;;Ingen data;;Ingen data;;;Ingen data;;0;3;3;16;47;0;34;38;2016/2017;41;38;2016/2017;46;35;3,88;40;2016/2017;3,62;39;2016/2017;32;21;16;13;Jeg søgte og blev ansat efter et stillingsopslag;Jeg fik job gennem mit netværk;Jeg fortsatte i job på den arbejdsplads, hvor jeg skrev opgave/projekt/speciale eller var i praktik;Jeg søgte uopfordret;38;2016/2017;Netværk;De kompetencer jeg fik fra uddannelsen;Praktik;Projekt i samarbejde med offentlig eller privat virksomhed;Jeg har den uddannelse som er en forudsætning for jobbet;35;2016/2017;Tilegnelse af ny viden;Anvendelse af teori og metode inden for mit fagområde;Evnen til at samarbejde;Tværfaglige og projektorienterede kompetencer;Formidlingsevner;33;2016/2017;4,09;35;2016/2017;3,58;40;2016/2017;3,89;38;2016/2017;4,34;38;2016/2017;3,93;40;2016/2017;4;40;2016/2017;44;34;3;31;6;27;35;2016/2017;3,59;39;2016/2017;5;92;3;38;2016/2017;3,75;40;2016/2017;4,25;40;2016/2017;3,23;39;2016/2017;3,33;40;2016/2017;3,85;39;2016/2017;32;2016/2017
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/naturvidenskabeligekandidatuddannelser/matematikfysikkemiogdatalogi/informatik;64180,80800,63150,62680,83390;Kandidatuddannelse;Aalborg;1 år og 11 måneder;21;2013-2015;206;;;;;;;;;;Information og kommunikation;Undervisning;Offentlig administration forsvar og politi;Øvrige brancher;29;17;9;44;67;2012-2014;4205;37.000;42.500;47.800;326;2013-2015;2;2013-2016;242;10;2011-2013;299;2;2;0;15;63;0;20;59;2016/2017;39;59;2016/2017;82;32;;;Ingen data;;;Ingen data;39;18;11;11;Jeg søgte og blev ansat efter et stillingsopslag;Jeg fortsatte i job på den arbejdsplads, hvor jeg havde studiejob;Andet;Jeg fik job gennem mit netværk;62;2016/2017;De kompetencer jeg fik fra uddannelsen;Studiejob;Netværk;Jeg har den uddannelse som er en forudsætning for jobbet;Gode karakterer;59;2016/2017;Formidlingsevner;Min evne til at arbejde struktureret og overholde deadlines;Evnen til at samarbejde;Tilegnelse af ny viden;Analytiske kompetencer;53;2016/2017;;;Ingen data;;;Ingen data;3,61;59;2016/2017;3,93;59;2016/2017;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;3;95;2;62;2016/2017;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;Ingen data
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/naturvidenskabeligekandidatuddannelser/matematikfysikkemiogdatalogi/kemi;80920,3139;Kandidatuddannelse;Aalborg;1 år og 9 måneder;0;2013-2015;18;;;;;;;;;;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;Ingen data
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/naturvidenskabeligekandidatuddannelser/oevrigenaturvidenskab/lysdesign;80190;Kandidatuddannelse;København SV;;13;2013-2015;32;Projektarbejde;Gruppearbejde;Forelæsninger;Selvstudie;Faglig vejledning fra din underviser;;;;;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;3,89;19;2016/2017;3,74;19;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;3,47;19;2016/2017;3,63;19;2016/2017;;;Ingen data;;;Ingen data;3,58;19;2016/2017;3,05;19;2016/2017;20;42;4;30;14;25;19;2016/2017;3,68;19;2016/2017;;;;;Ingen data;3,83;18;2016/2017;3,68;19;2016/2017;3,42;19;2016/2017;3,05;19;2016/2017;3,63;19;2016/2017;18;2016/2017
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/naturvidenskabeligekandidatuddannelser/matematikfysikkemiogdatalogi/maskinintelligens;57380;Kandidatuddannelse;Aalborg;;;Ingen data;;;;;;;;;;;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;Ingen data
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/naturvidenskabeligekandidatuddannelser/matematikfysikkemiogdatalogi/matematik;80820,801;Kandidatuddannelse;Aalborg;1 år og 8 måneder;4;2013-2015;24;Forelæsninger;Projektarbejde;Selvstudie;Gruppearbejde;Faglig vejledning fra din underviser;;;;;Undervisning;Information og kommunikation;Videnservice;Øvrige brancher;37;22;9;31;53;2012-2014;651;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;13;46;3,6;15;2016/2017;3,8;15;2016/2017;40;30;20;10;Jeg søgte og blev ansat efter et stillingsopslag;Jeg fik job gennem mit netværk;Jeg fortsatte i job på den arbejdsplads, hvor jeg havde studiejob;Jeg blev headhuntet;10;2016/2017;Jeg har den uddannelse som er en forudsætning for jobbet;Netværk;Studiejob;Gode karakterer;De kompetencer jeg fik fra uddannelsen;10;2016/2017;;;;;;;Ingen data;4,21;14;2016/2017;3,73;15;2016/2017;;;Ingen data;;;Ingen data;4,07;15;2016/2017;4;15;2016/2017;18;51;0;27;4;25;14;2016/2017;4,07;15;2016/2017;0;100;0;10;2016/2017;4,53;15;2016/2017;4,87;15;2016/2017;3,79;14;2016/2017;3,87;15;2016/2017;4,2;15;2016/2017;16;2016/2017
;www.ug.dk/uddannelser/universitetsuddannelser/kandidatuddannelser/naturvidenskabeligekandidatuddannelser/matematikfysikkemiogdatalogi/matematik-oekonomi;82170,81180,81170;Kandidatuddannelse;Aalborg;;0;2013-2015;22;;;;;;;;;;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;Ingen data
